ID,質問日時,カテゴリ,投稿者名,経過時間,回答数,閲覧数,回答転換率,共感数,回答リアクション総数,注目度,回答競争率,注目/競争比,ランキングポテンシャル,受付終了まで,URL,本文冒頭,マイフラグ,ベストアンサーフラグ
1,2026/1/13 12:35,労働条件、給与、残業,非公開,0分,0,0,0.0,0,0,0.0,0.0,0.0,0.0,あと3日,https://detail.chiebukuro.yahoo.co.jp/qa/question_detail/q14324241524,会社の管理ミスで、従業員が持っている有給日数以上の有給を取ってしまった場合 なにか起きますか？？ざっくりとした質問ですみません。,0,0
2,2026/1/13 12:35,登山,蝉丸,0分,0,0,0.0,0,0,0.0,0.0,0.0,0.0,あと3日,https://detail.chiebukuro.yahoo.co.jp/qa/question_detail/q13324241523,登山（山岳渓流でのイワナ釣り含む）における下記のリスクについて、優先順位をつけるとしたらどうなりますか？ ①道迷い ②転倒、滑落 ③疲労、急病 ④クマ ⑤道中の交通事故,0,0
3,2026/1/13 12:35,会計、経理、財務,1a,0分,0,0,0.0,0,0,0.0,0.0,0.0,0.0,あと3日,https://detail.chiebukuro.yahoo.co.jp/qa/question_detail/q12324241522,車両の耐用年数について 小型乗用車（日産ノートのe-POWER）の 新車、中古それぞれの耐用年数は、6年、2年で間違いないでしょうか？ 何も分からずでお恥ずかしいですが、よろしくお願いいたします。,0,0
4,2026/1/13 12:35,決済、ウォレット,1052209231,0分,0,0,0.0,0,0,0.0,0.0,0.0,0.0,あと3日,https://detail.chiebukuro.yahoo.co.jp/qa/question_detail/q11324241521,大至急 PayPayでイーフト課金したのですが、保留中になった後下の写真のように「お支払い方法に問題があります」となり保留中になった分の支払いも引き落とされず、 課金もできない状態になってしまいました...,0,0
5,2026/1/13 12:34,病気、症状,1052192899,2分,0,0,0.0,0,0,0.0,0.0,0.0,0.0,あと3日,https://detail.chiebukuro.yahoo.co.jp/qa/question_detail/q10324241520,前置きとして、文章を読むにあたって嫌悪感を与える可能性がありますのでご理解いただいた上で読んでいただけたらと思います。 去年の8月に前職から転職し、新しい生活が始まりました。しかし、経緯は伏せますが年...,0,0
6,2026/1/13 12:34,模型、プラモデル、ラジコン,私が本物のカテゴリマスターです。,2分,1,1,1.0,0,0,0.479,100.0,0.0,16.52,あと3日,https://detail.chiebukuro.yahoo.co.jp/qa/question_detail/q14324241519,PGνガンダムを通販ではなく店舗受け取りにしているかたで、当日どのように持って帰りますか？ 台車を持参しますか？ 誰かと二人がかりで運びますか？ 販売店は、取手とかつけてくれないんでしょうか？？,0,0
7,2026/1/13 12:34,恋愛相談、人間関係の悩み,非公開,2分,0,1,1.0,0,0,0.468,0.0,0.0,0.32,あと3日,https://detail.chiebukuro.yahoo.co.jp/qa/question_detail/q13324241518,付き合ってもないのに 歳上女性から、 ・手を繋ぐ(ガッチリと) ・抱きしめ合う(何回も) ・相手からキスを何回も繰り返す ・ディープキスを相手からしてくる このような場合、完全な脈ありで良いでしょうか...,0,0
8,2026/1/13 12:34,生理,1153006371,2分,0,1,1.0,0,0,0.455,0.0,0.0,0.31,あと3日,https://detail.chiebukuro.yahoo.co.jp/qa/question_detail/q12324241517,至急！生理ってレバーみたいな血の塊出るじゃないですか、で今日いつもと比にならないレベルのクソデカレバーでて…これって大丈夫ですかね？？ 写真は本物のレバーですが、本当にこのくしに刺さってるレバーの1個...,0,0
9,2026/1/13 12:34,社会保険,oew********,2分,0,0,0.0,0,0,0.0,0.0,0.0,0.0,あと3日,https://detail.chiebukuro.yahoo.co.jp/qa/question_detail/q11324241516,社会保険に未加入のフリーターの収入は自己報告以外ではわかりませんか？,0,0
10,2026/1/13 12:34,イヌ,t,2分,0,2,2.0,0,0,0.86,0.0,0.0,0.6,あと3日,https://detail.chiebukuro.yahoo.co.jp/qa/question_detail/q10324241515,犬はドックフードだけ食べますか？,0,0
11,2026/1/13 12:34,日本史,ba7643eba,2分,0,1,1.0,0,0,0.422,0.0,0.0,0.3,あと3日,https://detail.chiebukuro.yahoo.co.jp/qa/question_detail/q14324241514,豊臣秀吉と秀長は、顔が似ていたのでしょうか？,0,0
12,2026/1/13 12:34,スーパーマーケット,非公開,2分,0,1,1.0,0,0,0.41,0.0,0.0,0.29,あと3日,https://detail.chiebukuro.yahoo.co.jp/qa/question_detail/q13324241513,近々スーパーマーケットの品出しで働くため面接があるんですが、どんな事を面接で聞かれますか？,0,0
13,2026/1/13 12:34,ミリタリー,ナリタオンザロード,2分,0,4,4.0,0,0,1.603,0.0,0.0,1.14,あと3日,https://detail.chiebukuro.yahoo.co.jp/qa/question_detail/q12324241512,近年は、アメリカ群最新のXM7、HK416など、超万能なオールラウンダーとも言えるアサルトライフルが存在しますが、未だにMP5やMP7をはじめ、威力不足なサブマシンガンが使われ続けてるのは何故ですか？...,0,0
14,2026/1/13 12:34,病気、症状,マーティン,2分,0,1,1.0,0,0,0.39,0.0,0.0,0.28,あと3日,https://detail.chiebukuro.yahoo.co.jp/qa/question_detail/q11324241511,尿道カテーテルの痛みについて。 痛みに種類があるとしたら尿道カテーテルの痛みは生理痛と同じですか？それとも皮膚を怪我したのと同じ痛みですか？（外からの刺激の痛み）,0,0
15,2026/1/13 12:34,オークション、フリマサービス,1150366655,2分,0,1,1.0,0,0,0.382,0.0,0.0,0.28,あと3日,https://detail.chiebukuro.yahoo.co.jp/qa/question_detail/q10324241510,PayPayフリマでの購入者です。 購入した画像のものと同じ商品が送られてきたのですが、出品時の商品名が異なっていました。 私は商品名の方しか確認しておらず、現在出品者の方に送り間違えか問い合わせ中と...,0,0
16,2026/1/13 12:34,洋楽,c30ccc5cc,2分,0,1,1.0,0,0,0.374,0.0,0.0,0.27,あと3日,https://detail.chiebukuro.yahoo.co.jp/qa/question_detail/q14324241509,曲名教えて頂きたいです。かなり前に聞いた洋楽なのですが、〜looking say me (たぶん間違えてます)の後にサイレンみたいな音が鳴ってた気がします。わかる方お願いします。,0,0
17,2026/1/13 12:34,自動車,1252889855,2分,0,4,4.0,0,0,1.464,0.0,0.0,1.07,あと3日,https://detail.chiebukuro.yahoo.co.jp/qa/question_detail/q13324241508,富山県高岡市及び周辺地域にお住まいの方、又はこの地域の冬季の道路事情にお詳しい方に回答をお願い致します。 知人が今年の春に転勤で富山県に行くことになりました。こちらは雪があまり降らず、年中ノーマルタイ...,0,0
18,2026/1/13 12:34,恋愛相談、人間関係の悩み,非公開,2分,0,4,4.0,0,0,1.437,0.0,0.0,1.06,あと3日,https://detail.chiebukuro.yahoo.co.jp/qa/question_detail/q12324241507,恋愛でフェイドアウトされたり、無礼な態度で一方的にドタキャンする相手にLINEで暴言送りつけますか？ あまりにも不誠実なので僕はぶちまけます。 なんでこんな奴が世の中に存在してるんだろ そんなことする...,0,0
19,2026/1/13 12:34,ゲーム,1149967096,2分,0,0,0.0,0,0,0.0,0.0,0.0,0.0,あと3日,https://detail.chiebukuro.yahoo.co.jp/qa/question_detail/q11324241506,ARCRaidersについてです。私はこのゲームを始めてから一度もレイダーを撃ったり倒したりしてきませんでした。いわゆるドンシュー界隈の人です。 ただ、先ほどドンシューを無視して撃ってくる人がいたので...,0,0
20,2026/1/13 12:34,福祉、介護,ひー坊,2分,0,2,2.0,0,0,0.69,0.0,0.0,0.51,あと3日,https://detail.chiebukuro.yahoo.co.jp/qa/question_detail/q10324241505,生活保護を受けてます。引っ越して違う街に行きたいのですが又、アパート代や引っ越し費用は役所から出ますか？,0,0
21,2026/1/13 12:34,病院、検査,1151214252,2分,0,1,1.0,0,0,0.337,0.0,0.0,0.25,あと3日,https://detail.chiebukuro.yahoo.co.jp/qa/question_detail/q14324241504,健康診断の結果です これって何が悪いんですか？中性脂肪？ 3年前くらいの時はLDLコレストロールが低すぎてE判定、病院に行きましたが特に分からずじまいでした。,0,0
22,2026/1/13 12:34,キャンプ、バーベキュー,mm3********,3分,0,0,0.0,0,0,0.0,0.0,0.0,0.0,あと3日,https://detail.chiebukuro.yahoo.co.jp/qa/question_detail/q13324241503,コソリのノンフライヤーに付いてるこの金網は何に使うのでしょうか？,0,0
23,2026/1/13 12:34,洋楽,たい,3分,0,2,2.0,0,0,0.644,0.0,0.0,0.49,あと3日,https://detail.chiebukuro.yahoo.co.jp/qa/question_detail/q12324241502,「平和」「peace」「安心」「relief」「peace of mind」このワードが曲のタイトルや歌詞中にある曲を知りませんか？ この曲は 『今井美樹』 「peace of my wish」 ht...,0,0
24,2026/1/13 12:33,アニメ,非公開,4分,0,2,2.0,0,0,0.478,0.0,0.0,0.39,あと3日,https://detail.chiebukuro.yahoo.co.jp/qa/question_detail/q11324241501,名探偵コナンの映画の「漆黒の追跡者」の作品の関連グッズの中で、ポーチか巾着かお菓子缶の商品が出ているか分かりますか？ 昔、スーパーのお菓子コーナーで購入した同映画のジグソーパズルの食玩を収納したいです...,0,0
25,2026/1/13 12:33,病気、症状,1252782059,4分,0,1,1.0,0,0,0.235,0.0,0.0,0.19,あと3日,https://detail.chiebukuro.yahoo.co.jp/qa/question_detail/q10324241500,排便時に左のお腹が痛いです。血便も出ます。病名は何ですか？,0,0
26,2026/1/13 12:33,アニメ,pa1********,4分,0,1,1.0,0,0,0.231,0.0,0.0,0.19,あと3日,https://detail.chiebukuro.yahoo.co.jp/qa/question_detail/q13324241498,キュアアルカナ・シャドウって、 キュア、有るかな？シャドウ。 って事ですか？,0,0
27,2026/1/13 12:33,年金,but********,4分,0,1,1.0,0,0,0.227,0.0,0.0,0.19,あと3日,https://detail.chiebukuro.yahoo.co.jp/qa/question_detail/q12324241497,健康保険、親の扶養に１ヶ月ちょっと入ってました。 失業保険の関係で抜けました。 国保の手続きで窓口で扶養の期間に国民年金の加入はされてないみたいと言われ、野放しだったみたいです。 扶養に入ってた期間、...,0,0
28,2026/1/13 12:33,この仕事教えて,ルネサンスミッシー0156,4分,0,1,1.0,0,0,0.224,0.0,0.0,0.18,あと3日,https://detail.chiebukuro.yahoo.co.jp/qa/question_detail/q11324241496,米農家は殆ど儲からないと聞きますが、 米の値段が安いというよりも化学肥料、除草剤 とりわけコンバインやトラクターの機械が高すぎるということですか？,0,0
29,2026/1/13 12:33,政治、社会問題,kei********,4分,0,3,3.0,0,0,0.661,0.0,0.0,0.54,あと3日,https://detail.chiebukuro.yahoo.co.jp/qa/question_detail/q10324241495,もしも、2026年2月衆議院選挙で立憲民主党と公明党が勝利して、野田佳彦第二次総理大臣誕生したら、日本の政治の歴史は変わりますか？また、立憲民主党と公明党政権が誕生したら、長期政権か？ それとも短命政...,0,0
30,2026/1/13 12:33,ヘアケア,ID 非公開,4分,0,1,1.0,0,0,0.218,0.0,0.0,0.18,あと3日,https://detail.chiebukuro.yahoo.co.jp/qa/question_detail/q14324241494,流す方向に寄って前髪のボリュームは変化ありますか？,0,0
31,2026/1/13 12:33,職場の悩み,ken********,4分,1,4,4.0,0,0,0.859,25.0,0.03,9.54,あと3日,https://detail.chiebukuro.yahoo.co.jp/qa/question_detail/q13324241493,こんにちは質問ですが、これは又聞きなのですがいま仕事で遠方へ応援派遣で出されているのですが、元のいた職場が、自分がいなくなって経費が浮いてると理由で応援先にまだ置いとくというのです。 これはもう最初か...,0,0
32,2026/1/13 12:33,自動車,山本ソフィア,4分,0,0,0.0,0,0,0.0,0.0,0.0,0.0,あと3日,https://detail.chiebukuro.yahoo.co.jp/qa/question_detail/q12324241492,トライク(3輪の自動車扱い)の高速での法定速度は何で未だ80km/hのままなのでしょうか？ 軽自動車より走行性能も良いし、二輪車より安定してますよね？ ユーザーが少ないからですか？,0,0
33,2026/1/13 12:33,テーマパーク,1251621707,4分,0,4,4.0,0,0,0.838,0.0,0.0,0.69,あと3日,https://detail.chiebukuro.yahoo.co.jp/qa/question_detail/q11324241491,タワーオブテラーに乗ったことなく、乗ってみたいのですが怖くてまだ乗れてません 3月ぐらいにディズニーにいくのですが アンリミテッドという普段より怖い仕様になっていると見ました。 いきなりアンリミテッド...,0,0
34,2026/1/13 12:33,ファッション,a178f2f43,4分,0,4,4.0,0,0,0.827,0.0,0.0,0.69,あと3日,https://detail.chiebukuro.yahoo.co.jp/qa/question_detail/q10324241490,このデザインの服はどうやって手に入れればいいのですか？また、どこで買えますか？ ほしいです。,0,0
35,2026/1/13 12:33,ゲーム,a223102f0,4分,0,0,0.0,0,0,0.0,0.0,0.0,0.0,あと3日,https://detail.chiebukuro.yahoo.co.jp/qa/question_detail/q14324241489,ここの宝箱ってどうやったら取れますか？ 月霊連れてきても近くのカニ？叩いてやったやつでも反応しません,0,0
36,2026/1/13 12:33,K-POP、アジア,a9ec4b7e3,4分,0,1,1.0,0,0,0.202,0.0,0.0,0.17,あと3日,https://detail.chiebukuro.yahoo.co.jp/qa/question_detail/q12324241487,来月NCT WISHの韓国ペンミに参加予定なのですが、MDは当日会場に行ってその場で列に並んで購入することは可能でしょうか？,0,0
37,2026/1/13 12:33,恋愛相談、人間関係の悩み,cmy********,5分,1,4,4.0,0,0,0.794,25.0,0.03,8.94,あと3日,https://detail.chiebukuro.yahoo.co.jp/qa/question_detail/q13324241488,SNSって女のほうが短期では圧倒的に有利で、結局容姿が良ければ内容がいまいちでもフォロワーは増える。気がする。 性的搾取とか言うくせに露出の多い服装だったり、都合よすぎません？ よっぽど内容が有益であ...,0,0
38,2026/1/13 12:33,読書,Div********,5分,0,4,4.0,0,0,0.784,0.0,0.0,0.66,あと3日,https://detail.chiebukuro.yahoo.co.jp/qa/question_detail/q11324241486,知恵袋の読書カテゴリの質問数は、もっと多くても良いと思うのですが少ないです。読書に関心がある人が少ないからでしょうか？,0,0
39,2026/1/13 12:33,ニュース、事件,shu********,5分,1,0,0.0,0,0,0.0,0.0,0.0,8.1,あと3日,https://detail.chiebukuro.yahoo.co.jp/qa/question_detail/q10324241485,税金の無駄遣い 再選するならわざわざ選挙何でしなければ良かったのでは？,0,0
40,2026/1/13 12:33,ライブ、コンサート,1053036088,5分,0,2,2.0,0,0,0.381,0.0,0.0,0.32,あと3日,https://detail.chiebukuro.yahoo.co.jp/qa/question_detail/q14324241484,きゅるりんってしてみての曲で「生まれ変わっても」「また君を見つけ出す〜探しだす」って歌詞がある曲ありますか？ 昨日のライブでこの歌詞いいなぁと思ったのですが、探しても見つからなくて… うたちゃんが歌っ...,0,0
41,2026/1/8 22:22,日本映画,1152829203,110時間16分,11,76082,6916.5,14,111,11.499,0.01,1149.9,12.3,回答受付が終了しました,https://detail.chiebukuro.yahoo.co.jp/qa/question_detail/q14324085614,映画でっちあげについて質問です。 実話と聞いたのですが、実際に他の生徒に聞いたら分かるものではないのでしょうか？,0,0
42,2026/1/12 16:03,男性アイドル,1152333726,20時間35分,4,5400,1350.0,0,23,4.371,0.07,62.44,5.09,あと3日,https://detail.chiebukuro.yahoo.co.jp/qa/question_detail/q12324212267,13日の嵐のライブ当落発表って 何時くらいですか？ 今まではどうだったのでしょうか。,0,0
43,2026/1/10 0:27,政治、社会問題,qsefthuk,84時間11分,17,31630,1860.6,23,562,6.261,0.05,125.22,10.22,不明,https://detail.chiebukuro.yahoo.co.jp/qa/question_detail/q14324121554,なぜ今、衆議院解散をするのですか？,0,0
44,2026/1/11 7:28,サッカー,sup********,53時間10分,3,9305,3101.7,4,69,2.916,0.03,97.2,3.74,不明,https://detail.chiebukuro.yahoo.co.jp/qa/question_detail/q11324162401,高校サッカーの鹿児島の神村学園ってほとんど県外出身者なんでしょうか？,0,0
